__time,/RMSE/data
1669053141.696160,0.064530
1669053141.896159,0.064530
1669053142.096226,0.064530
1669053142.296197,0.064530
1669053142.496098,0.065042
1669053142.696080,0.065089
1669053142.896096,0.060671
1669053143.096124,0.060704
1669053143.296060,0.060178
1669053143.496140,0.059791
1669053143.696159,0.059791
1669053143.896779,0.057966
1669053144.096127,0.058978
1669053144.296414,0.058978
1669053144.497288,0.061411
1669053144.696420,0.061411
1669053144.896171,0.058984
1669053145.096083,0.056370
1669053145.296598,0.055747
1669053145.496350,0.056341
1669053145.696131,0.056341
1669053145.896070,0.058462
1669053146.096990,0.058298
1669053146.296159,0.058298
1669053146.496076,0.058064
1669053146.696139,0.058064
1669053146.896207,0.058064
1669053147.096197,0.056695
1669053147.296177,0.056695
1669053147.496178,0.056695
1669053147.696193,0.058227
1669053147.896237,0.058227
1669053148.096353,0.058340
1669053148.296354,0.058340
1669053148.496236,0.061841
1669053148.696190,0.060202
1669053148.896145,0.060202
1669053149.096199,0.063443
1669053149.296192,0.063443
1669053149.496161,0.063994
1669053149.696150,0.063994
1669053149.896153,0.062732
1669053150.096166,0.062732
1669053150.296141,0.062732
1669053150.496201,0.062676
1669053150.696186,0.063859
1669053150.896202,0.063859
1669053151.096200,0.063859
1669053151.296183,0.068349
1669053151.496230,0.068349
1669053151.696269,0.068272
1669053151.896227,0.070105
1669053152.096169,0.070105
1669053152.296221,0.068788
1669053152.496382,0.068788
1669053152.696400,0.070650
1669053152.896348,0.070650
1669053153.096278,0.076362
1669053153.296212,0.074990
1669053153.496187,0.074990
1669053153.696186,0.076749
1669053153.896190,0.077719
1669053154.096294,0.083534
1669053154.296173,0.083193
1669053154.496247,0.082203
1669053154.696224,0.083581
1669053154.896218,0.085512
1669053155.096236,0.085512
1669053155.296173,0.084714
1669053155.496202,0.084714
1669053155.696170,0.086771
1669053155.896217,0.086771
1669053156.096174,0.087867
1669053156.296235,0.090211
1669053156.496295,0.096018
1669053156.696377,0.095121
1669053156.896206,0.095121
1669053157.096335,0.101961
1669053157.296393,0.101701
1669053157.496206,0.101701
1669053157.696179,0.101701
1669053157.896183,0.102414
1669053158.096231,0.101494
1669053158.296198,0.101705
1669053158.496217,0.101705
1669053158.696171,0.101705
1669053158.896209,0.101705
1669053159.096196,0.101705
1669053159.296199,0.101705
1669053159.496209,0.103489
1669053159.696169,0.103489
1669053159.896230,0.103489
1669053160.096186,0.113001
1669053160.296216,0.113001
1669053160.496228,0.115245
1669053160.696179,0.117480
1669053160.896458,0.113479
1669053161.096430,0.117879
1669053161.296477,0.117879
1669053161.496344,0.117879
1669053161.696197,0.117879
1669053161.896190,0.117879
1669053162.096204,0.117879
1669053162.296160,0.120133
1669053162.496173,0.120133
1669053162.696188,0.121038
1669053162.896173,0.121038
1669053163.096205,0.121038
1669053163.296211,0.121038
1669053163.496174,0.123413
1669053163.696217,0.123413
1669053163.896257,0.124461
1669053164.096300,0.124461
1669053164.296245,0.124391
1669053164.496223,0.123470
1669053164.696283,0.126171
1669053164.896194,0.127934
1669053165.096410,0.128559
1669053165.296449,0.128978
1669053165.496332,0.128978
1669053165.696203,0.128789
1669053165.896256,0.125328
1669053166.096189,0.126678
1669053166.296199,0.128511
1669053166.496223,0.127460
1669053166.696219,0.130311
1669053166.896208,0.129778
1669053167.096181,0.125936
1669053167.296165,0.127946
1669053167.496181,0.127011
1669053167.696484,0.128101
1669053167.896231,0.128692
1669053168.096196,0.123815
1669053168.296170,0.129090
1669053168.496207,0.129659
1669053168.696448,0.129659
1669053168.896363,0.128960
1669053169.096327,0.131045
1669053169.296309,0.131045
1669053169.496247,0.129967
1669053169.696198,0.131117
1669053169.896206,0.131117
1669053170.096209,0.128830
1669053170.296175,0.129125
1669053170.496163,0.129125
1669053170.696161,0.129125
1669053170.896226,0.129125
1669053171.096181,0.127057
1669053171.296198,0.125992
1669053171.496208,0.125992
1669053171.696222,0.126728
1669053171.896246,0.127363
1669053172.096181,0.127133
1669053172.296355,0.127133
1669053172.496562,0.127505
1669053172.696340,0.125663
1669053172.896324,0.125663
1669053173.096308,0.124673
1669053173.296201,0.123357
1669053173.496239,0.123357
1669053173.696182,0.123357
1669053173.896186,0.123732
1669053174.096192,0.123732
1669053174.296182,0.120562
1669053174.496166,0.119861
1669053174.696185,0.119861
1669053174.896167,0.119861
1669053175.096181,0.119861
1669053175.296192,0.119861
1669053175.496253,0.117487
1669053175.696214,0.119435
1669053175.896157,0.114666
1669053176.096194,0.116569
1669053176.296236,0.116157
1669053176.496473,0.116658
1669053176.696461,0.113791
1669053176.896342,0.113791
1669053177.096233,0.113999
1669053177.296205,0.113999
1669053177.496217,0.113035
1669053177.696237,0.111261
1669053177.896188,0.111261
1669053178.096186,0.111261
1669053178.296214,0.105287
1669053178.496207,0.105287
1669053178.696210,0.105287
1669053178.896196,0.107512
1669053179.096240,0.106894
1669053179.296205,0.106404
1669053179.496233,0.106506
1669053179.696220,0.106128
1669053179.896252,0.103837
1669053180.096239,0.106960
1669053180.296225,0.106960
1669053180.496359,0.107193
1669053180.696479,0.106897
1669053180.896442,0.106897
